environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
hopper-expert-v2,1,0.1,mpi1,mpi4,1.0463722656485805,0.9743496388954208,1.0739186672607677,0.25050164120751933,512
hopper-expert-v2,1,0.1,mpi2,mpi4,1.0051529848968517,0.9635360323301655,1.043191900635041,0.25050164120751933,512
hopper-expert-v2,1,0.2,mpi1,mpi4,1.038505200921119,0.9650544586710067,1.0761104636014662,0.2496454810547425,512
hopper-expert-v2,1,0.4,mpi1,mpi4,1.049059308201977,0.9692789453509726,1.082308981571983,0.250831846751735,512
walker2d-medium-v2,0,0.05,mpi1,mpi4,0.8768793280021177,0.9740450839159986,0.9002451144014392,0.19711218322879798,512
walker2d-medium-v2,0,0.1,mpi1,mpi4,0.8287454240156128,0.9705296066133275,0.8539105024395165,0.19770963561632762,512
walker2d-medium-v2,1,0.05,mpi1,mpi4,1.0257765712361915,0.9917704947052063,1.0342882518813923,0.1979510341308324,512
walker2d-medium-v2,1,0.1,mpi1,mpi4,0.8704460265952642,0.9659650911270863,0.9011154073690483,0.19752539463461283,512
walker2d-medium-replay-v2,0,0.05,mpi1,mpi4,0.42677639979597826,0.8123002191864761,0.5253924469248544,0.36275698659551747,512
walker2d-medium-replay-v2,0,0.1,mpi1,mpi4,0.5140870784152131,0.8348672215740779,0.6157710653029849,0.3637193727248283,512
walker2d-medium-replay-v2,1,0.05,mpi1,mpi4,0.8956083895838536,0.9297343404896237,0.9632949441366246,0.3617278198994702,512
walker2d-medium-replay-v2,1,0.1,mpi1,mpi4,0.9935517801718531,0.9491139080483548,1.0468203781934615,0.3616372570536561,512
walker2d-expert-v2,0,0.05,mpi1,mpi4,0.9161663586396509,0.9834296921465,0.9316033123221695,0.17869579635132277,512
walker2d-expert-v2,0,0.1,mpi1,mpi4,0.9334640625441746,0.9853537241022525,0.9473390516635494,0.17844013659121913,512
walker2d-expert-v2,1,0.05,mpi1,mpi4,0.9360426421869339,0.9880756425518628,0.9473390516635494,0.17850649980803712,512
walker2d-expert-v2,1,0.1,mpi1,mpi4,0.8520023110703632,0.9862320020179663,0.8638964354503293,0.17876592245598052,512
