environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,2,mpi4,explicit,10.0,10.0,20.0,0.3670271254692305,0.3670271254692305,0.8842500112811026,0.0,0.0,0.24187588667952659,0.41507166614279273,0.3964151960335942,0.4843397280791286,0.8793522222322026,0.3968296575144856,0.7204716461458575,0.3586722484341008,0.6511942350143515,1.0,True,1,0.0,0.77734375,True,512
halfcheetah-medium-v2,2,mpi4,implicit,10.0,10.0,20.0,0.2926794394899183,0.2926794394899183,0.5555300985656038,0.0,0.0,0.22546190745318087,0.5268471325777413,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.691428542137146,0.796875,False,512
halfcheetah-medium-v2,3,mpi4,explicit,0.05,0.05,0.1,0.07885718108367161,0.07885718108367161,0.3074960655697886,0.0,0.0,0.07661026169237824,0.2564493985884004,0.26145567661617747,0.25543121647813605,0.9960296958547424,0.2551665984164712,0.9949978429312363,0.007408186840451241,0.02888751886816211,1.0,True,1,0.0,0.015625,True,512
halfcheetah-medium-v2,3,mpi4,implicit,0.05,0.05,0.1,0.08277073827943215,0.08277073827943215,0.3125566701304551,0.0,0.0,0.08114354402172924,0.2648183391667349,0.2907178167193637,0.2810767851217941,0.9933851981239059,0.2810770057874946,0.9933859780034698,0.0006813692985464912,0.0024081041603590987,0.521484375,False,200,0.029392942786216736,0.013671875,True,512
halfcheetah-medium-v2,3,mpi4,explicit,0.1,0.1,0.2,0.09423303478165967,0.09423303478165967,0.3602233183964378,0.0,0.0,0.08998177097465934,0.2615961542999087,0.25543121647813605,0.26176193309300244,1.000633720298899,0.26188823475102474,1.0011165318997053,0.00506886984579896,0.01937669863444445,1.0,True,1,0.0,0.04296875,True,512
halfcheetah-medium-v2,3,mpi4,implicit,0.1,0.1,0.2,0.09128395247442077,0.09128395247442077,0.3401370016360295,0.0,0.0,0.08890724925254065,0.26837407290401477,0.2839304950953764,0.29263641176822125,0.9952027712526488,0.2926392451770846,0.995212407156588,0.0009590801987387729,0.0032616558748483782,0.453125,False,200,0.15306907892227173,0.04296875,True,512
halfcheetah-medium-v2,3,mpi4,explicit,0.2,0.2,0.4,0.0631890525713727,0.0631890525713727,0.2406124750733838,0.0,0.0,0.05460881356059055,0.26261752451572107,0.26176193309300244,0.26405685162502845,1.0054806971163162,0.263115811939889,1.001897388321997,0.012941454251713919,0.049278715407810515,1.0,True,1,0.0,0.095703125,True,512
halfcheetah-medium-v2,3,mpi4,implicit,0.2,0.2,0.4,0.056255662921834836,0.056255662921834836,0.20663024579739878,0.0,0.0,0.052606439372332205,0.2722527997038419,0.3208039740689085,0.3248190245738889,1.0035888742737564,0.32495103118396607,1.0039967332819466,0.0027210694591745686,0.008407250895898501,0.326171875,False,200,0.093514084815979,0.087890625,True,512
halfcheetah-medium-v2,3,mpi4,explicit,1.5,2.5,4.0,0.17905457230416932,0.14919488662727365,0.5577018991559206,0.19396190573622688,0.6590897273380609,0.10924348681048222,0.29428755705175746,0.2833111107817788,0.30365104650307806,1.0318174833660188,0.28891370115882936,0.9817394389801436,0.10636715865619073,0.3614395379872739,1.0,True,1,0.0,0.607421875,True,512
halfcheetah-medium-v2,3,mpi4,implicit,1.5,2.5,4.0,0.1572289889853656,0.14782863456229672,0.36394375681142105,0.20164589055153118,0.48114033079683227,0.06793579230300076,0.41909995409775525,0.5050787128102692,0.5128637663217127,0.9978403436000177,0.5129172939951363,0.9979444883564784,0.0042781537081222915,0.00832368095859711,0.037109375,False,200,0.7133634090423584,0.5859375,True,512
