method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.25,0.25,1,walker2d-medium-replay-v2,46.4792,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,1,walker2d-expert-v2,106.7283,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.25,0.25,2,hopper-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,hopper-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,hopper-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,halfcheetah-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,halfcheetah-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,walker2d-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,walker2d-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,2,walker2d-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.25,0.25,3,hopper-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,hopper-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,hopper-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,halfcheetah-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,halfcheetah-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,walker2d-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,walker2d-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.25,0.25,3,walker2d-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.3,0.3,0,hopper-medium-v2,54.73,available,K=1/Imp/seed0.csv
