task,T,training_seed,method,state_set,metric,actor_a,actor_b,value,n,n_excluded,q_weight,action_grad_norm,paired,checkpoint_hash
hopper-medium-v2,20,0,MART4,dataset,adjacent_rms,mu3,mu4,0.06970740854740143,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,from_mu1_rms,mu1,mu2,0.07520468533039093,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,from_mu1_rms,mu1,mu3,0.1187276691198349,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,from_mu1_rms,mu1,mu4,0.1536848545074463,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,cos_d2_d3,delta,delta,0.25078731775283813,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,cos_d3_d4,delta,delta,0.21197858452796936,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,dataset,cos_d2_d4,delta,delta,0.19772768020629883,4096,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,bound_frac,mu1,,0.2239454094292804,1612,0,0.03361735865473747,2.3714256286621094,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,bound_frac,mu2,,0.21774193548387097,1612,0,0.03361735865473747,2.385129690170288,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,bound_frac,mu3,,0.22518610421836227,1612,0,0.03360842913389206,2.3848607540130615,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,bound_frac,mu4,,0.2239454094292804,1612,0,0.03359512612223625,2.4254398345947266,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,adjacent_rms,mu1,mu2,0.07824086397886276,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,adjacent_rms,mu2,mu3,0.07135234773159027,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.09128066897392273,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.07824086397886276,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.11172623187303543,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.15825480222702026,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,cos_d2_d3,delta,delta,0.14610786736011505,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,cos_d3_d4,delta,delta,0.1060517281293869,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-v2,20,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.27716219425201416,1612,0,,,True,a2858ba4c62d8ed0c4ef4a2ebe20f41b0482513e5dd2041f1895b9c3eef75edf
hopper-medium-replay-v2,4,0,MART4,dataset,bound_frac,mu1,,0.115966796875,4096,0,0.012218315154314041,7.591841697692871,True,380d503b0bff9f9287b8e8991eb85803c6b96f6ec5e5beec46e0df371d9ac11e
