environment,seed,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
hopper-medium-v2,3,implicit,10.0,10.0,20.0,0.07449661709956965,0.07010316844624011,0.16156559026461495,0.1654812758012897,1.0,True
hopper-medium-replay-v2,2,explicit,0.05,0.05,0.1,0.0022756637283924516,0.0063015738036926216,0.35818761749922673,0.3583977862632421,1.0,True
hopper-medium-replay-v2,2,implicit,0.05,0.05,0.1,0.0011611453774533036,0.0032770987092280417,0.35302565519593304,0.35295969606464456,0.708984375,True
hopper-medium-replay-v2,2,explicit,0.1,0.1,0.2,0.006313168298695765,0.017528811993140467,0.356112255523813,0.3565135973287769,1.0,True
hopper-medium-replay-v2,2,implicit,0.1,0.1,0.2,0.0024792652106473325,0.007130305567757349,0.34530488478371635,0.3455441336998633,0.6171875,True
hopper-medium-replay-v2,2,explicit,0.2,0.2,0.4,0.008765187994776933,0.023935988527343566,0.35906617127030177,0.3598111315512389,1.0,True
hopper-medium-replay-v2,2,implicit,0.2,0.2,0.4,0.004692739267616237,0.01333518895930328,0.350645159676463,0.3501519908125951,0.4453125,True
hopper-medium-replay-v2,2,explicit,1.5,2.5,4.0,0.044633067355600006,0.1125689723926141,0.35886142117851977,0.3574168982922816,1.0,True
hopper-medium-replay-v2,2,implicit,1.5,2.5,4.0,0.006046980330324387,0.016044062512578117,0.3858706423376058,0.38572694922900946,0.087890625,True
hopper-medium-replay-v2,2,explicit,4.0,10.0,14.0,0.12479926746152684,0.26330541241039135,0.38810352283829197,0.37553377800498944,1.0,True
hopper-medium-replay-v2,2,implicit,4.0,10.0,14.0,0.027031333783064562,0.06555776072932627,0.39267248309418057,0.3885148061608413,0.037109375,True
hopper-medium-replay-v2,2,explicit,7.0,7.0,14.0,0.10514187409606085,0.22183162676815638,0.38810352283829197,0.3730617157325572,1.0,True
hopper-medium-replay-v2,2,implicit,7.0,7.0,14.0,0.028423806355035164,0.069632015967521,0.3736419889122615,0.3679925135364615,0.060546875,True
hopper-medium-replay-v2,2,explicit,7.0,10.0,17.0,0.14962679970745357,0.3146539529789258,0.39257667311059796,0.3738184518430835,1.0,True
hopper-medium-replay-v2,2,implicit,7.0,10.0,17.0,0.017578310657572847,0.03990230051972802,0.42243993548300324,0.41913408892783266,0.02734375,True
hopper-medium-replay-v2,2,explicit,10.0,10.0,20.0,0.12744828292858174,0.24182006748934506,0.4272405430364988,0.40579001693963096,1.0,True
hopper-medium-replay-v2,2,implicit,10.0,10.0,20.0,0.051882181661854404,0.08982442567640628,0.4765394463508806,0.4529536537993131,0.01953125,True
hopper-medium-replay-v2,3,explicit,0.05,0.05,0.1,0.0022889774633615204,0.006269550863234733,0.36196905079077074,0.3620948378867668,1.0,True
hopper-medium-replay-v2,3,implicit,0.05,0.05,0.1,0.0013250388427765308,0.003635765624789654,0.3626950214079463,0.36272061122745497,0.7578125,True
hopper-medium-replay-v2,3,explicit,0.1,0.1,0.2,0.005627755314855088,0.0154322990977832,0.35951076022964074,0.35969106742983503,1.0,True
hopper-medium-replay-v2,3,implicit,0.1,0.1,0.2,0.0024034564479255348,0.006812100001913868,0.35190461246174304,0.3519768183427866,0.59765625,True
hopper-medium-replay-v2,3,explicit,0.2,0.2,0.4,0.009485260541889784,0.025494260825570984,0.3641376906660335,0.3643327024653613,1.0,True
hopper-medium-replay-v2,3,implicit,0.2,0.2,0.4,0.004719468193439061,0.013122414210428155,0.35802472644755207,0.35820877679224755,0.490234375,True
hopper-medium-replay-v2,3,explicit,1.5,2.5,4.0,0.04565466550265497,0.11400353617396554,0.36519094244900596,0.3642725977828728,1.0,True
hopper-medium-replay-v2,3,implicit,1.5,2.5,4.0,0.008003679874023579,0.019712989370760794,0.39456639876100436,0.39505375847991936,0.09765625,True
hopper-medium-replay-v2,3,explicit,4.0,10.0,14.0,0.12614601887847138,0.2710181390268492,0.38092252894267215,0.37204895604260085,1.0,True
hopper-medium-replay-v2,3,implicit,4.0,10.0,14.0,0.02350512636209191,0.05947180401328179,0.368101938335542,0.3664011263328812,0.03125,True
hopper-medium-replay-v2,3,explicit,7.0,7.0,14.0,0.10410730373041248,0.2236691095523319,0.38092252894267215,0.367515533264204,1.0,True
hopper-medium-replay-v2,3,implicit,7.0,7.0,14.0,0.02722334669052432,0.07321379477948255,0.33238576703271566,0.33204199703076015,0.052734375,True
hopper-medium-replay-v2,3,explicit,7.0,10.0,17.0,0.16099287695996758,0.3333789633465955,0.41281745207308246,0.38975638634292714,1.0,True
hopper-medium-replay-v2,3,implicit,7.0,10.0,17.0,0.07624399603058475,0.12718887483806854,0.4670396816897081,0.4439944562161399,0.015625,True
hopper-medium-replay-v2,3,explicit,10.0,10.0,20.0,0.16925842502020882,0.33042403746726273,0.4467125441474517,0.4144946525936886,1.0,True
hopper-medium-replay-v2,3,implicit,10.0,10.0,20.0,0.061609657964860225,0.13435323290372075,0.37032695950535083,0.3613985646638636,0.02734375,True
hopper-expert-v2,2,explicit,0.05,0.05,0.1,3.432931388267542e-06,1.3926934737835096e-05,0.24644505802849057,0.2464450772870331,1.0,True
hopper-expert-v2,2,implicit,0.05,0.05,0.1,6.3036020297880775e-06,2.5551289848350507e-05,0.2466537083852236,0.24665361208867756,0.994140625,True
hopper-expert-v2,2,explicit,0.1,0.1,0.2,2.4856229124246598e-05,0.00010061098677358633,0.24699653807363084,0.2469961678185968,1.0,True
hopper-expert-v2,2,implicit,0.1,0.1,0.2,1.5881979534882608e-05,6.415055744127523e-05,0.24752328631358853,0.2475227832598136,0.982421875,True
hopper-expert-v2,2,explicit,0.2,0.2,0.4,4.932097040156147e-05,0.00020175526117453105,0.24432251109612493,0.24432328083380564,1.0,True
hopper-expert-v2,2,implicit,0.2,0.2,0.4,5.7940553219547766e-05,0.00023734903046713346,0.24398992239800651,0.24398859666085262,0.974609375,True
hopper-expert-v2,2,explicit,1.5,2.5,4.0,0.03596428226895211,0.03584372654134672,0.14465700252596217,0.15123299761949263,1.0,True
hopper-expert-v2,2,implicit,1.5,2.5,4.0,0.09568526269955079,0.0942936486108119,0.05101041328573031,0.0825056490725184,0.720703125,True
hopper-expert-v2,2,explicit,4.0,10.0,14.0,0.07278271964456322,0.07341345257457951,0.2054577837927564,0.19421098374123008,1.0,True
hopper-expert-v2,2,implicit,4.0,10.0,14.0,0.10944340310469683,0.11036194333941236,0.1453700704660909,0.16774618717758646,0.98828125,True
hopper-expert-v2,2,explicit,7.0,7.0,14.0,0.057401346100290095,0.05789878449486402,0.2054577837927564,0.19307786095389795,1.0,True
hopper-expert-v2,2,implicit,7.0,7.0,14.0,0.10202345134301467,0.10237924670431844,0.14589877321985797,0.16393369281531917,0.982421875,True
hopper-expert-v2,2,explicit,7.0,10.0,17.0,0.06925747055099093,0.06960477064964381,0.2112127339282284,0.1975617190965019,1.0,True
