environment,T,seed,hop_index,ref_actor,new_actor,delta_L,q_term,transport_mean_sq,mean_q_gain,return_delta,j_ref,j_new,label,optimizer_diverged,c_k
halfcheetah-medium-replay-v2,14,0,3,mart_mu2,mart_mu3,0.005535111777279415,-0.015293461424929733,0.020828573202209148,0.7890206245938316,1.054121351742367,51.66039878585242,52.71452013759479,other_obj_not_up_return_up,False,0.01938284114284393
halfcheetah-medium-replay-v2,14,0,4,mart_mu3,mart_mu4,0.008448276079202933,-0.008856668245583971,0.017304944324786905,0.45779726607725024,-0.8551196213720473,52.71452013759479,51.85940051622274,other_obj_not_up_return_flat,False,0.019346267227575507
halfcheetah-medium-replay-v2,14,1,2,mart_mu1,mart_mu2,0.005838184275223035,-0.024983931948243627,0.030822116223466662,1.2934015478531364,2.8623247656175295,47.29715638255443,50.159481148171956,other_obj_not_up_return_up,False,0.019316454344525426
halfcheetah-medium-replay-v2,14,1,3,mart_mu2,mart_mu3,0.004594251754330224,-0.013641854433257262,0.018236106187587486,0.7084243764402345,2.4569078629481425,50.159481148171956,52.6163890111201,other_obj_not_up_return_up,False,0.019256613531293616
halfcheetah-medium-replay-v2,14,1,4,mart_mu3,mart_mu4,0.008057173312384867,-0.008467370316546352,0.01652454362893122,0.4405046648462303,1.822487093073299,52.6163890111201,54.4388761041934,other_obj_not_up_return_up,False,0.01922197650166113
halfcheetah-medium-replay-v2,20,0,2,mart_mu1,mart_mu2,0.004898647928090645,-0.03293229606215342,0.037830943990244066,1.2487052739597857,3.9716673190120773,48.039339606417116,52.01100692542919,other_obj_not_up_return_up,False,0.026373153656764327
halfcheetah-medium-replay-v2,20,0,3,mart_mu2,mart_mu3,0.004022967868575686,-0.017621123987714423,0.02164409185629011,0.6699722578632645,1.0819510964971286,52.01100692542919,53.09295802192632,other_obj_not_up_return_up,False,0.026301274091427736
halfcheetah-medium-replay-v2,20,0,4,mart_mu3,mart_mu4,0.008480636408796614,-0.010886103274412712,0.019366739683209327,0.4144882171531208,1.573836838642734,53.09295802192632,54.666794860569055,other_obj_not_up_return_up,False,0.026263963181349385
halfcheetah-medium-replay-v2,20,1,2,mart_mu1,mart_mu2,0.0014655266972072555,-0.031084865519930397,0.03255039221713765,1.170195495360531,3.1516969264426677,49.703009971721954,52.85470689816462,other_obj_not_up_return_up,False,0.026563822577656836
halfcheetah-medium-replay-v2,20,1,3,mart_mu2,mart_mu3,0.005932218839851719,-0.0161520209328879,0.022084239772739617,0.6098896748153493,1.5759136868864303,52.85470689816462,54.43062058505105,other_obj_not_up_return_up,False,0.026483512674285063
halfcheetah-medium-replay-v2,20,1,4,mart_mu3,mart_mu4,0.007838865032716016,-0.010208345966895167,0.018047210999611183,0.38607034308370203,1.9192590778218488,54.43062058505105,56.3498796628729,other_obj_not_up_return_up,False,0.02644167351824262
walker2d-expert-v2,10,0,2,mart_mu1,mart_mu2,0.0007286715670774945,-0.0010685497039510732,0.0017972212710285677,0.10731068253517151,2.0354450385231218,110.25839710920084,112.29384214772396,other_obj_not_up_return_up,False,0.009957533385372438
walker2d-expert-v2,10,0,3,mart_mu2,mart_mu3,0.0006922058516522844,-0.0008281370607513466,0.001520342912403631,0.08318465948104858,1.8289642511308415,112.29384214772396,114.1228063988548,other_obj_not_up_return_up,False,0.009955406031805848
